Model,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,MCC,Cohen Kappa,Log Loss,Top-2 Accuracy,Top-3 Accuracy
CATBOOST,0.4541650194293649,0.14577058359259387,0.22679519221149327,0.14577058359259387,0.16548073121283274,0.37751898842901643,0.285528174948109,0.2687168726436965,2.3191391952227347,0.5247471289859125,0.5762084293552151
LIGHTGBM,0.44581473160477875,0.1331385550824222,0.207508170320857,0.1331385550824222,0.15095052360914124,0.36574097862099336,0.2714014424182234,0.2540376992414487,2.3853102486072357,0.5105921376158289,0.5603178123402983
XGBOOST,0.45156158096211513,0.1405714615926356,0.22090001482931323,0.1405714615926356,0.16136752412005329,0.3729377972530347,0.27954288392306026,0.2616388530945791,2.370721939789165,0.5142851632934461,0.5641361887589312
